"zone","ID","fam","taxagroup","species","longevity","growth","densityCHAVE","human.influ","tseas","moistwetq","low.w.rad","temp","moistdq","cloud","soil_class","alt.group","phylo"
"Tropics",13,"Fabaceae","Eudicot","Mimosa acantholoba",40,5,0.823,30,1762,1.08,146.19,25.8,0.16,245,"Cambisols","Lowland","Mimosa_acantholoba"
"Tropics",14,"Cupressaceae","Conifer","Sabina procera",168,6.32,0.483,18,662,1.12,160.77,10.9,0.45,103,"Luvisols","High altitude","Sabina_procera"
"Tropics",15,"Rubiaceae","Eudicot","Aidia ochroleuca",85,3.3,0.824,22,867,1.34,87.71,24,0.26,163,"Ferralsols","Lowland","Aidia_ochroleuca"
"Tropics",16,"Rubiaceae","Eudicot","Corynanthe paniculata",112,2.26,0.672,22,867,1.34,87.71,24,0.26,163,"Ferralsols","Lowland","Corynanthe_paniculata"
"Tropics",17,"Annonaceae","Eudicot","Xylopia wilwerthii",49,3.24,0.594,22,867,1.34,87.71,24,0.26,163,"Ferralsols","Lowland","Xylopia_wilwerthii"
"Tropics",18,"Cupressaceae","Conifer","Sabina procera",103,8,0.483,18,1127,1.07,119.97,27,0.1,207,"Vertisols","High altitude","Sabina_procera"
"Tropics",19,"Cupressaceae","Conifer","Sabina procera",135,5.2,0.483,22,1020,1.27,153.36,13.8,0.25,287,"Luvisols","High altitude","Sabina_procera"
"Tropics",20,"Pinaceae","Conifer","Pinus merkusii",127,NA,0.53,18,1820,1.63,114.21,25.9,0.21,217,"Acrisols","Lowland","Pinus_merkusii"
"Tropics",21,"Meliaceae","Eudicot","Cedrela odorata",157,3.9,0.447,8,504,1.51,92.92,24.8,0.3,237,"Acrisols","Lowland","Cedrela_odorata"
"Tropics",22,"Meliaceae","Eudicot","Swietenia macrophylla",170,6.98,0.52,8,504,1.51,92.92,24.8,0.3,237,"Acrisols","Lowland","Swietenia_macrophylla"
"Tropics",23,"Capparaceae","Eudicot","Quadrella indica",85,21,0.68,30,791,1.52,163.19,26,0.17,271,"Regosols","Lowland","Quadrella_indica"
"Tropics",24,"Rubiaceae","Eudicot","Genipa americana",80,26.14,0.634,30,791,1.52,163.19,26,0.17,271,"Regosols","Lowland","Genipa_americana"
"Tropics",25,"Fabaceae","Eudicot","Balizia elegans",211,3.96,0.495,22,731,1.8,151.38,26.1,1.27,52,"Cambisols","Lowland","Balizia_elegans"
"Tropics",26,"Fabaceae","Eudicot","Dipteryx panamensis",252,3.46,0.913,22,731,1.8,151.38,26.1,1.27,52,"Cambisols","Lowland","Dipteryx_panamensis"
"Tropics",27,"Fabaceae","Eudicot","Hymenolobium mesoamericanum",530,2.8,0.653,22,731,1.8,151.38,26.1,1.27,52,"Cambisols","Lowland","Hymenolobium_mesoamericanum"
"Tropics",28,"Olacaceae","Eudicot","Minquartia guianensis",291,1.67,0.787,22,731,1.8,151.38,26.1,1.27,52,"Cambisols","Lowland","Minquartia_guianensis"
"Tropics",29,"Simaroubaceae","Eudicot","Simarouba amara",76,6.96,0.383,22,731,1.8,151.38,26.1,1.27,52,"Cambisols","Lowland","Simarouba_amara"
"Tropics",30,"Fabaceae","Eudicot","Acacia senegal",69,5.06,0.775,26,760,0.99,168.03,19.4,0.26,351,"Andosols","High altitude","Acacia_senegal"
"Tropics",31,"Fabaceae","Eudicot","Acacia seyal",67,4.64,0.775,26,760,0.99,168.03,19.4,0.26,351,"Andosols","High altitude","Acacia_seyal"
"Tropics",32,"Fabaceae","Eudicot","Acacia tortilis",93,3.62,0.775,26,760,0.99,168.03,19.4,0.26,351,"Andosols","High altitude","Acacia_tortilis"
"Tropics",33,"Zygophyllaceae","Eudicot","Balanites aegyptiacus",70,3.86,0.674,26,760,0.99,168.03,19.4,0.26,351,"Andosols","High altitude","Balanites_aegyptiacus"
"Tropics",34,"Pinaceae","Conifer","Abies religiosa",64,NA,0.38,14,1497,1.25,131.38,12.1,0.3,217,"Andosols","High altitude","Abies_religiosa"
"Tropics",35,"Podocarpaceae","Conifer","Podocarpus lambertii",138,1.84,0.45,17,1326,0.92,131.09,19.7,0.36,99,"Ferralsols","Lowland","Podocarpus_lambertii"
"Tropics",36,"Fabaceae","Eudicot","Centrolobium microchaete",175,3.6,0.587,5,1794,1.08,144.7,23.2,0.34,129,"Ferralsols","Lowland","Centrolobium_microchaete"
"Tropics",37,"Fabaceae","Eudicot","Centrolobium microchaete",158,5.96,0.587,5,1773,1.11,145.48,23.7,0.35,141,"Ferralsols","Lowland","Centrolobium_microchaete"
"Tropics",38,"Fabaceae","Eudicot","Acacia elatior",102,NA,0.775,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Acacia_elatior"
"Tropics",39,"Fabaceae","Eudicot","Acacia robusta",39,NA,0.732,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Acacia_robusta"
"Tropics",40,"Fabaceae","Eudicot","Albizia gummifera",60,NA,0.534,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Albizia_gummifera"
"Tropics",41,"Boraginaceae","Eudicot","Cordia goetzei",40,NA,0.758,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Cordia_goetzei"
"Tropics",42,"Ebenaceae","Eudicot","Diospyros mespiliformis",63,NA,0.702,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Diospyros_mespiliformis"
"Tropics",43,"Ebenaceae","Eudicot","Euclea natalensis",36,NA,0.814,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Euclea_natalensis"
"Tropics",44,"Moraceae","Eudicot","Ficus sycomorus",28,NA,0.422,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Ficus_sycomorus"
"Tropics",45,"Sapindaceae","Eudicot","Lepisanthes perrieri",57,NA,0.63,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Lepisanthes_perrieri"
"Tropics",46,"Fabaceae","Eudicot","Newtonia hildebrandtii",68,NA,0.574,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Newtonia_hildebrandtii"
"Tropics",47,"Salicaceae","Eudicot","Populus ilicifolia",30,NA,0.377,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Populus_ilicifolia"
"Tropics",48,"Malvaceae","Eudicot","Sterculia appendiculata",68,NA,0.607,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Sterculia_appendiculata"
"Tropics",49,"Fabaceae","Eudicot","Tamarindus indica",91,NA,0.978,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Tamarindus_indica"
"Tropics",50,"Combretaceae","Eudicot","Terminalia brevipes",50,NA,0.555,15,1092,0.42,161.13,27.8,0.11,127,"Solonetz","Lowland","Terminalia_brevipes"
"Tropics",51,"Lecythidaceae","Eudicot","Cariniana pyriformis",181,3.86,0.537,12,417,1.89,130.42,24.2,0.88,35,"Cambisols","Lowland","Cariniana_pyriformis"
"Tropics",52,"Fabaceae","Eudicot","Machaerium nyctitans",193,2.86,0.823,4,2164,1.07,134.21,24.5,0.4,154,"Luvisols","Lowland","Machaerium_nyctitans"
"Tropics",53,"Lecythidaceae","Eudicot","Cariniana estrellensis",155,8.6,0.637,18,2507,1.16,120.3,20.7,0.47,205,"Ferralsols","Lowland","Cariniana_estrellensis"
"Sub-tropics",54,"Lecythidaceae","Eudicot","Cariniana estrellensis",212,5.6,0.637,17,2743,1.28,105.37,22,0.96,77,"Acrisols","Lowland","Cariniana_estrellensis"
"Tropics",55,"Fabaceae","Eudicot","Hymenaea courbaril",288,3.72,0.792,4,627,1.63,89.12,27.3,0.74,110,"Ferralsols","Lowland","Hymenaea_courbaril"
"Tropics",56,"Fabaceae","Eudicot","Hymenaea courbaril",316,3.86,0.792,5,328,1.76,82.82,26.8,0.57,105,"Ferralsols","Lowland","Hymenaea_courbaril"
"Tropics",57,"Fabaceae","Eudicot","Hymenaea courbaril",179,3.82,0.792,14,1601,1.17,140.67,26.2,0.3,223,"Plinthosols","Lowland","Hymenaea_courbaril"
"Tropics",58,"Fabaceae","Eudicot","Hymenaea courbaril",184,3.42,0.792,8,818,1.25,127.23,25.1,0.17,237,"Cambisols","Lowland","Hymenaea_courbaril"
"Tropics",59,"Fabaceae","Eudicot","Hymenaea courbaril",119,6.12,0.792,18,1738,1.29,138.05,22.1,0.24,200,"Ferralsols","Lowland","Hymenaea_courbaril"
"Tropics",60,"Fabaceae","Eudicot","Hymenaea courbaril",188,5.22,0.792,38,2520,0.97,116.28,21.8,0.48,179,"Ferralsols","Lowland","Hymenaea_courbaril"
"Tropics",61,"Fabaceae","Eudicot","Hymenaea courbaril",306,5.76,0.792,30,2114,1.26,116.53,20.9,0.37,219,"Ferralsols","Lowland","Hymenaea_courbaril"
"Tropics",62,"Fabaceae","Eudicot","Hymenaea courbaril",287,2.86,0.792,36,2421,1.15,117.71,20.8,0.43,215,"Lixisols","Lowland","Hymenaea_courbaril"
"Sub-tropics",63,"Fabaceae","Eudicot","Hymenaea courbaril",273,2.82,0.792,17,2750,1.28,105.37,21.1,0.96,76,"Acrisols","Lowland","Hymenaea_courbaril"
"Tropics",64,"Fabaceae","Eudicot","Hymenaea parvifolia",371,3.4,0.877,2,569,1.64,90,25.7,0.44,208,"Ferralsols","Lowland","Hymenaea_parvifolia"
"Tropics",65,"Fabaceae","Eudicot","Hymenaea stigonocarpa",135,3.16,0.9,14,1601,1.17,140.67,26.2,0.3,223,"Plinthosols","Lowland","Hymenaea_stigonocarpa"
"Tropics",66,"Fabaceae","Eudicot","Hymenaea stigonocarpa",144,3.78,0.9,18,1754,1.29,138.05,22.1,0.24,199,"Ferralsols","Lowland","Hymenaea_stigonocarpa"
"Tropics",67,"Lamiaceae","Eudicot","Tectona grandis",82,NA,0.601,18,4399,1.33,148.61,25.6,0.15,411,"Leptosols","Lowland","Tectona_grandis"
"Tropics",68,"Lamiaceae","Eudicot","Tectona grandis",145,NA,0.601,22,3257,1.04,152.34,26.1,0.14,366,"Luvisols","Lowland","Tectona_grandis"
"Tropics",69,"Lamiaceae","Eudicot","Tectona grandis",174,NA,0.601,35,4570,1.47,153.53,26.8,0.17,484,"Lixisols","Lowland","Tectona_grandis"
"Tropics",70,"Combretaceae","Eudicot","Terminalia superba",182,9.06,0.459,28,565,1.23,127.39,25.1,0.91,17,"Ferralsols","Lowland","Terminalia_superba"
"Tropics",71,"Combretaceae","Eudicot","Terminalia superba",165,14.38,0.459,28,565,1.23,127.39,25.1,0.91,17,"Ferralsols","Lowland","Terminalia_superba"
"Tropics",72,"Fabaceae","Eudicot","Pericopsis elata",199,5.96,0.639,28,565,1.23,127.39,25.1,0.91,17,"Ferralsols","Lowland","Pericopsis_elata"
"Tropics",73,"Burseraceae","Eudicot","Bursera graveolens",NA,16.06,0.32,14,498,0.51,142.44,20.1,0.07,205,"Cambisols","Lowland","Bursera_graveolens"
"Tropics",74,"Burseraceae","Eudicot","Bursera graveolens",NA,11.46,0.32,14,498,0.51,142.44,20.1,0.07,205,"Cambisols","Lowland","Bursera_graveolens"
"Tropics",75,"Burseraceae","Eudicot","Bursera graveolens",NA,9.24,0.32,14,498,0.51,142.44,20.1,0.07,205,"Cambisols","Lowland","Bursera_graveolens"
"Tropics",76,"Cupressaceae","Conifer","Fokienia hodginsii",535,1.94,0.389,26,4783,1.48,103.6,22.8,0.52,63,"Acrisols","High altitude","Fokienia_hodginsii"
"Tropics",77,"Fabaceae","Eudicot","Intsia africana",349,3.92,0.693,18,1522,1.33,107.91,26.4,0.13,274,"Lixisols","Lowland","Intsia_africana"
"Tropics",78,"Combretaceae","Eudicot","Anogeissus leiocarpus",245,3.74,0.81,18,1522,1.33,107.91,26.4,0.13,274,"Lixisols","Lowland","Anogeissus_leiocarpus"
"Tropics",79,"Combretaceae","Eudicot","Anogeissus leiocarpus",266,4.54,0.81,18,1309,1.14,103.84,27,0.2,255,"Plinthosols","Lowland","Anogeissus_leiocarpus"
"Tropics",80,"Fabaceae","Eudicot","Daniellia oliveri",340,3.12,0.493,18,1522,1.33,107.91,26.4,0.13,274,"Lixisols","Lowland","Daniellia_oliveri"
"Tropics",81,"Fabaceae","Eudicot","Daniellia oliveri",368,3.18,0.493,18,1309,1.14,103.84,27,0.2,255,"Plinthosols","Lowland","Daniellia_oliveri"
"Tropics",82,"Ebenaceae","Eudicot","Diospyros abyssinica",315,2.14,0.6,18,1309,1.14,103.84,27,0.2,255,"Plinthosols","Lowland","Diospyros_abyssinica"
"Tropics",83,"Fabaceae","Eudicot","Isoberlinia doka",146,4.38,0.627,18,1522,1.33,107.91,26.4,0.13,274,"Lixisols","Lowland","Isoberlinia_doka"
"Tropics",84,"Fabaceae","Eudicot","Pterocarpus erinaceus",221,6.2,0.74,18,1522,1.33,107.91,26.4,0.13,274,"Lixisols","Lowland","Pterocarpus_erinaceus"
"Tropics",85,"Picrodendraceae","Eudicot","Piranhea trifoliata",289,3.34,0.835,5,388,1.52,88.37,26.8,1.06,62,"Plinthosols","Lowland","Piranhea_trifoliata"
"Tropics",86,"Lamiaceae","Eudicot","Tectona grandis",144,NA,0.601,22,4460,1.47,157.36,26.5,0.1,548,"Vertisols","Lowland","Tectona_grandis"
"Tropics",87,"Bignoniaceae","Eudicot","Handroanthus barbatus",181,3.42,0.7,5,324,1.63,94.93,26.7,1.25,70,"Acrisols","Lowland","Handroanthus_barbatus"
"Tropics",88,"Bignoniaceae","Eudicot","Handroanthus barbatus",142,5.76,0.7,5,310,1.62,94.69,26.7,1.23,67,"Gleysols","Lowland","Handroanthus_barbatus"
"Tropics",89,"Fabaceae","Eudicot","Vatairea guianensis",200,4.58,0.672,5,324,1.63,94.93,26.7,1.25,70,"Acrisols","Lowland","Vatairea_guianensis"
"Tropics",90,"Fabaceae","Eudicot","Vatairea guianensis",160,7.18,0.672,5,310,1.62,94.69,26.7,1.23,67,"Gleysols","Lowland","Vatairea_guianensis"
"Tropics",91,"Pinaceae","Conifer","Pinus occidentalis",211,1.04,0.53,18,1420,1.26,132.4,7.1,0.92,55,"Cambisols","High altitude","Pinus_occidentalis"
"Tropics",92,"Fabaceae","Eudicot","Pterocarpus angolensis",120,4.72,0.561,18,3164,1.04,161.26,21.1,0.1,373,"Arenosols","Lowland","Pterocarpus_angolensis"
"Tropics",93,"Fabaceae","Eudicot","Pterocarpus angolensis",124,4.5,0.561,17,3427,1.02,160.51,20.9,0.09,415,"Arenosols","Lowland","Pterocarpus_angolensis"
"Tropics",94,"Fabaceae","Eudicot","Pterocarpus angolensis",143,2.9,0.561,15,2874,1.19,159.06,21.6,0.09,451,"Arenosols","Lowland","Pterocarpus_angolensis"
"Tropics",95,"Fabaceae","Eudicot","Pterocarpus angolensis",274,3.3,0.561,14,335,1.15,107.26,24.5,0.24,144,"Ferralsols","Lowland","Pterocarpus_angolensis"
"Tropics",96,"Fabaceae","Eudicot","Pterocarpus angolensis",166,3,0.561,5,3404,0.83,161.44,21.6,0.08,466,"Vertisols","Lowland","Pterocarpus_angolensis"
"Tropics",97,"Fabaceae","Eudicot","Pterocarpus angolensis",119,2.8,0.561,17,3426,1.02,160.51,20.9,0.09,414,"Regosols","Lowland","Pterocarpus_angolensis"
"Tropics",98,"Fabaceae","Eudicot","Pterocarpus angolensis",258,4,0.561,18,3155,1.05,161.06,21.2,0.1,378,"Solonetz","Lowland","Pterocarpus_angolensis"
"Tropics",99,"Fabaceae","Eudicot","Pterocarpus angolensis",170,3.7,0.561,9,3562,0.92,159.35,20.9,0.09,395,"Arenosols","Lowland","Pterocarpus_angolensis"
"Tropics",100,"Fabaceae","Eudicot","Pterocarpus angolensis",159,4,0.561,26,2866,1.19,143.91,21.4,0.23,197,"Arenosols","Lowland","Pterocarpus_angolensis"
"Tropics",101,"Fabaceae","Eudicot","Pterocarpus angolensis",184,2.6,0.561,18,2561,0.99,149.32,20.9,0.22,199,"Leptosols","Lowland","Pterocarpus_angolensis"
"Tropics",102,"Fabaceae","Eudicot","Brachystegia spiciformis",77,3,0.672,51,3585,1.02,163.44,22.7,0.09,490,"Leptosols","Lowland","Brachystegia_spiciformis"
"Tropics",103,"Fabaceae","Eudicot","Brachystegia spiciformis",100,3.32,0.672,50,3379,1.16,165.14,18.7,0.1,371,"Ferralsols","Lowland","Brachystegia_spiciformis"
"Tropics",104,"Fabaceae","Eudicot","Brachystegia spiciformis",149,2.84,0.672,13,2883,1.25,148.96,20.6,0.09,380,"Ferralsols","Lowland","Brachystegia_spiciformis"
"Tropics",105,"Fabaceae","Eudicot","Brachystegia spiciformis",131,2.1,0.672,31,2295,1.36,113.82,19.7,0.11,402,"Ferralsols","Lowland","Brachystegia_spiciformis"
"Tropics",106,"Fabaceae","Eudicot","Brachystegia spiciformis",43,3.76,0.672,18,608,1.15,124.05,22.1,0.18,207,"Cambisols","Lowland","Brachystegia_spiciformis"
"Tropics",107,"Fabaceae","Eudicot","Brachystegia spiciformis",63,4.88,0.672,31,2560,1.19,167,22.8,0.09,482,"Podzols","Lowland","Brachystegia_spiciformis"
"Tropics",108,"Fabaceae","Eudicot","Brachystegia spiciformis",48,5.24,0.672,31,2560,1.19,167,22.8,0.09,482,"Podzols","Lowland","Brachystegia_spiciformis"
"Tropics",109,"Fabaceae","Eudicot","Brachystegia spiciformis",31,6.5,0.672,31,2560,1.19,167,22.8,0.09,482,"Podzols","Lowland","Brachystegia_spiciformis"
"Sub-tropics",110,"Meliaceae","Eudicot","Cedrela angustifolia",171,NA,0.36,11,3808,1.04,117.4,14.8,0.19,184,"Leptosols","Lowland","Cedrela_angustifolia"
"Sub-tropics",111,"Meliaceae","Eudicot","Cedrela angustifolia",132,NA,0.36,9,3703,0.94,126.15,14.9,0.17,211,"Leptosols","High altitude","Cedrela_angustifolia"
"Sub-tropics",112,"Juglandaceae","Eudicot","Juglans australis",294,NA,0.52,14,3751,1,131.15,14.3,0.19,214,"Phaeozems","High altitude","Juglans_australis"
"Sub-tropics",113,"Juglandaceae","Eudicot","Juglans australis",133,NA,0.52,11,3870,1.04,117.4,15.7,0.19,180,"Leptosols","Lowland","Juglans_australis"
"Tropics",114,"Cupressaceae","Conifer","Sabina procera",290,3.02,0.483,42,1461,1.37,131.38,19.3,0.17,228,"Leptosols","High altitude","Sabina_procera"
"Tropics",115,"Cupressaceae","Conifer","Sabina procera",252,3.02,0.483,39,1459,1.37,131.38,19.3,0.17,242,"Leptosols","High altitude","Sabina_procera"
"Tropics",116,"Cupressaceae","Conifer","Sabina procera",155,4.1,0.483,1,1936,1.32,154.62,24.1,0.12,102,"Lixisols","High altitude","Sabina_procera"
"Tropics",117,"Cupressaceae","Conifer","Sabina procera",106,3.48,0.483,22,1143,1.3,159.89,12.1,0.16,225,"Leptosols","High altitude","Sabina_procera"
"Tropics",118,"Cupressaceae","Conifer","Sabina procera",61,7.42,0.483,31,1155,1.3,159.89,12.6,0.16,295,"Nitisols","High altitude","Sabina_procera"
"Tropics",119,"Sapotaceae","Eudicot","Rhamnoluma robusta",64,3.2,0.702,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Rhamnoluma_robusta"
"Tropics",120,"Cannabaceae","Eudicot","Celtis adolfi-friederici",146,3.2,0.554,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Celtis_adolfi-friederici"
"Tropics",121,"Cannabaceae","Eudicot","Celtis zenkeri",220,3.6,0.608,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Celtis_zenkeri"
"Tropics",122,"Myristicaceae","Eudicot","Coelocaryon preussii",110,2.6,0.495,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Coelocaryon_preussii"
"Tropics",123,"Ebenaceae","Eudicot","Diospyros crassiflora",70,4.6,0.858,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Diospyros_crassiflora"
"Tropics",124,"Meliaceae","Eudicot","Entandrophragma cylindricum",114,2.4,0.572,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Entandrophragma_cylindricum"
"Tropics",125,"Malvaceae","Eudicot","Eribroma oblongum",103,7.2,0.628,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Eribroma_oblongum"
"Tropics",126,"Sapotaceae","Eudicot","Gambeya perpulchra",88,2.4,0.702,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Gambeya_perpulchra"
"Tropics",127,"Rubiaceae","Eudicot","Mitragyna ciliata",60,7,0.528,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Mitragyna_ciliata"
"Tropics",128,"Malvaceae","Eudicot","Nesogordonia papaverifera",124,5,0.645,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Nesogordonia_papaverifera"
"Tropics",129,"Annonaceae","Eudicot","Polyalthia suaveolens",100,3.4,0.659,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Polyalthia_suaveolens"
"Tropics",130,"Malvaceae","Eudicot","Sterculia rhinopetala",86,3.6,0.673,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Sterculia_rhinopetala"
"Tropics",131,"Moraceae","Eudicot","Trilepisium madagascariense",66,4.6,0.541,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Trilepisium_madagascariense"
"Tropics",132,"Malvaceae","Eudicot","Triplochiton scleroxylon",219,6.2,0.335,15,880,1.31,82.36,25.1,0.34,119,"Ferralsols","Lowland","Triplochiton_scleroxylon"
"Tropics",133,"Pinaceae","Conifer","Pinus kesiya",269,NA,0.466,23,2444,1.17,108.16,24.6,0.22,297,"Acrisols","Lowland","Pinus_kesiya"
"Tropics",134,"Pinaceae","Conifer","Pinus merkusii",234,NA,0.53,23,2444,1.17,108.16,24.6,0.22,297,"Acrisols","Lowland","Pinus_merkusii"
"Tropics",135,"Malvaceae","Eudicot","Heritiera fomes",72,2.34,0.816,14,3549,1.77,128.39,26.1,0.3,413,"Fluvisols","Lowland","Heritiera_fomes"
"Tropics",136,"Malvaceae","Eudicot","Heritiera fomes",68,1.86,0.816,14,3529,1.63,133.19,26.1,0.28,426,"Fluvisols","Lowland","Heritiera_fomes"
"Tropics",137,"Malvaceae","Eudicot","Apeiba echinata",110,6.8,0.278,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Apeiba_echinata"
"Tropics",138,"Lecythidaceae","Eudicot","Bertholletia excelsa",146,3.2,0.638,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Bertholletia_excelsa"
"Tropics",139,"Moraceae","Eudicot","Brosimum rubescens",171,3.8,0.825,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Brosimum_rubescens"
"Tropics",140,"Combretaceae","Eudicot","Buchenavia grandis",134,4.4,0.755,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Buchenavia_grandis"
"Tropics",141,"Fabaceae","Eudicot","Diplotropis martiusii",99,3.4,0.633,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Diplotropis_martiusii"
"Tropics",142,"Sapotaceae","Eudicot","Ecclinusa guianensis",189,3,0.627,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Ecclinusa_guianensis"
"Tropics",143,"Vochysiaceae","Eudicot","Erisma bicolor",135,4.6,0.536,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Erisma_bicolor"
"Tropics",144,"Lecythidaceae","Eudicot","Eschweilera truncata",202,3,0.828,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Eschweilera_truncata"
"Tropics",145,"Lecythidaceae","Eudicot","Eschweilera coriacea",310,2.2,0.852,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Eschweilera_coriacea"
"Tropics",146,"Goupiaceae","Eudicot","Goupia glabra",321,5,0.727,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Goupia_glabra"
"Tropics",147,"Chrysobalanaceae","Eudicot","Licania micrantha",214,2.8,0.836,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Licania_micrantha"
"Tropics",148,"Chrysobalanaceae","Eudicot","Licania oblongifolia",219,2.6,0.804,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Licania_oblongifolia"
"Tropics",149,"Sapotaceae","Eudicot","Pouteria guianensis",238,2.6,0.93,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Pouteria_guianensis"
"Tropics",150,"Sapotaceae","Eudicot","Pouteria virescens",161,2.6,0.714,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Pouteria_virescens"
"Tropics",151,"Moraceae","Eudicot","Pseudolmedia laevis",181,2.2,0.618,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Pseudolmedia_laevis"
"Tropics",152,"Fabaceae","Eudicot","Pterocarpus officinalis",313,3,0.383,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Pterocarpus_officinalis"
"Tropics",153,"Malvaceae","Eudicot","Scleronema micranthum",240,2.8,0.625,5,423,1.55,82,26.4,0.55,117,"Ferralsols","Lowland","Scleronema_micranthum"
"Sub-tropics",154,"Pinaceae","Conifer","Pseudotsuga menziesii",500,2.12,0.428,12,3025,1.2,124.41,17.5,0.25,264,"Regosols","High altitude","Pseudotsuga_menziesii"
"Tropics",155,"Fabaceae","Eudicot","Campsiandra laurifolia",76,3.92,0.855,10,559,1.29,173.61,28.2,0.25,80,"Acrisols","Lowland","Campsiandra_laurifolia"
